ID,item_cnt_month
0,0.0
1,0.15915787
2,0.6621964
3,0.058875427
4,0.15915787
5,0.6681992
6,0.7972225
7,0.0
8,1.4117674
9,0.15915787
10,6.3166304
11,0.24243441
12,0.029867858
13,0.16350532
14,1.3086911
15,2.7138042
16,0.15915787
17,0.0
18,1.3145996
19,0.0
20,0.68621826
21,0.15915787
22,0.37028047
23,0.0
24,2.1126838
25,0.15915787
26,0.15915787
27,0.71170413
28,0.46872112
29,3.562956
30,0.19019145
31,0.15915787
32,0.766418
33,0.0
34,0.07186626
35,0.09206021
36,0.0
37,0.44471547
38,0.19047773
39,0.053233817
40,0.50051737
41,0.5273591
42,3.769215
43,0.3124003
44,0.23980013
45,0.15915787
46,3.2593138
47,0.0
48,0.0
49,1.2420143
50,0.7521912
51,0.24243441
52,0.24860406
53,0.0
54,6.5901356
55,1.205019
56,1.7337825
57,3.7614958
58,1.887476
59,1.8139021
60,2.9918382
61,0.0
62,0.0
63,0.11016211
64,0.15915787
65,0.15915787
66,0.6885797
67,0.15212712
68,0.23980013
69,0.0
70,0.15915787
71,1.7528256
72,0.5561069
73,0.0
74,0.15915787
75,0.15915787
76,0.31253314
77,0.15915787
78,0.0
79,0.3468471
80,0.2618778
81,2.352778
82,0.0
83,0.0
84,0.8392174
85,0.6523485
86,1.340907
87,0.007179886
88,18.980734
89,2.0302835
90,1.464705
91,0.3112119
92,0.79137564
93,0.058875427
94,0.047340766
95,0.1498889
96,0.15212712
97,0.47910884
98,1.5264385
99,1.7902528
100,0.10022053
101,0.57851255
102,0.0
103,0.3112119
104,0.0
105,0.15915787
106,0.15915787
107,0.0
108,0.0
109,0.15915787
110,0.0
111,0.15915787
112,0.15915787
113,0.15915787
114,0.0
115,0.34468415
116,0.15915787
117,0.0669249
118,19.532692
119,0.10589698
120,0.0
121,0.08506408
122,0.25598475
123,0.395597
124,0.0
125,1.4480375
126,0.15915787
127,0.123502046
128,0.15915787
129,0.28861007
130,0.3112119
131,0.15915787
132,0.3112119
133,3.0509536
134,0.15099457
135,0.3112119
136,0.24243441
137,0.15915787
138,0.9248744
139,0.15915787
140,0.0
141,0.16683087
142,0.02149856
143,0.24243441
144,0.15915787
145,0.15915787
146,0.15915787
147,0.34723672
148,0.15915787
149,0.15915787
150,0.07220663
151,0.15915787
152,5.8939466
153,0.13173968
154,0.15915787
155,0.47204003
156,0.15996477
157,0.060880587
158,0.0
159,0.3240577
160,0.15915787
161,0.24243441
162,0.15915787
163,0.0
164,0.0
165,0.17365226
166,0.46676365
167,0.23521242
168,0.15915787
169,0.29268366
170,0.24243441
171,1.997071
172,0.10124299
173,0.8214755
174,0.6718042
175,3.873603
